Shen's Region,Hemisphere,Lobe,CI Max (Shen2Yeo),Shen2Yeo,Abs_Shen2Yeo
ROI_1,Right,Prefrontal,Limbic,Limbic,LIM
ROI_2,Right,Prefrontal,Limbic,Limbic,LIM
ROI_3,Right,Prefrontal,Limbic,Limbic,LIM
ROI_4,Right,Prefrontal,Limbic,Limbic,LIM
ROI_5,Right,Prefrontal,Default Mode,Default Mode,DM
ROI_6,Right,Prefrontal,Default Mode,Default Mode,DM
ROI_7,Right,Prefrontal,Frontoparietal,Frontoparietal,FP
ROI_8,Right,Prefrontal,Frontoparietal,Frontoparietal,FP
ROI_9,Right,Prefrontal,Frontoparietal,Frontoparietal,FP
ROI_10,Right,Prefrontal,Default Mode,Default Mode,DM
ROI_11,Right,Prefrontal,Frontoparietal,Frontoparietal,FP
ROI_12,Right,Prefrontal,Default Mode,Default Mode,DM
ROI_13,Right,Prefrontal,Ventral Attention,Ventral Attention,VA
ROI_14,Right,Prefrontal,Default Mode,Default Mode,DM
ROI_15,Right,Prefrontal,Ventral Attention,Ventral Attention,VA
ROI_16,Right,Prefrontal,Default Mode,Default Mode,DM
ROI_17,Right,Prefrontal,Frontoparietal,Frontoparietal,FP
ROI_18,Right,Prefrontal,Limbic,Limbic,LIM
ROI_19,Right,Prefrontal,Frontoparietal,Frontoparietal,FP
ROI_20,Right,Prefrontal,Ventral Attention,Ventral Attention,VA
ROI_21,Right,Prefrontal,Ventral Attention,Ventral Attention,VA
ROI_22,Right,Prefrontal,Frontoparietal,Frontoparietal,FP
ROI_23,Right,Motor,Somatomotor,Somatomotor,SM
ROI_24,Right,Motor,Somatomotor,Somatomotor,SM
ROI_25,Right,Motor,Somatomotor,Somatomotor,SM
ROI_26,Right,Motor,Somatomotor,Somatomotor,SM
ROI_27,Right,Motor,Somatomotor,Somatomotor,SM
ROI_28,Right,Motor,Ventral Attention,Ventral Attention,VA
ROI_29,Right,Motor,Ventral Attention,Ventral Attention,VA
ROI_30,Right,Motor,Frontoparietal,Frontoparietal,FP
ROI_31,Right,Motor,Frontoparietal,Frontoparietal,FP
ROI_32,Right,Motor,Dorsal Attention,Dorsal Attention,DA
